institution_name,city,layer,corridor,text_status,image_status,image_path,notes
Michigan Street Baptist Church,Buffalo,Church / civic gathering space,Michigan Street Corridor,available,available,assets/images/michigan-street-baptist-church/image-1.jpeg,
Nash House,Buffalo,Community / social institution,Michigan Street Corridor,available,available,assets/images/nash-house/image-1.jpeg,
Colored Musicians Club,Buffalo,Labor / governance infrastructure,Michigan Street Corridor,available,available,assets/images/colored-musicians-club/image-1.jpeg,
WUFO Radio,Buffalo,Media / communication infrastructure,Michigan Street Corridor,missing,available,assets/images/wufo-radio/image-1.jpeg,Needs text
Michigan Avenue YMCA,Buffalo,Community / social institution,Michigan Street Corridor,available,available,assets/images/michigan-avenue-ymca/image-1.jpeg,
St. Philip's Episcopal Church,Buffalo,Church / civic gathering space,Michigan Street Corridor,missing,available,assets/images/st-philips-episcopal-church/image-1.jpeg,Needs text
Vendome Hotel,Buffalo,Hospitality / touring infrastructure,Michigan Street Corridor,available,available,assets/images/vendome-hotel/image-1.jpeg,
Moonglow Club,Buffalo,Performance / nightlife venue,Michigan Street Corridor,available,available,assets/images/moonglow-club/image-1.jpeg,
Buffalo Criterion,Buffalo,Media / communication infrastructure,Michigan Street Corridor,available,available,assets/images/buffalo-criterion/image-1.jpeg,
Buffalo Urban League,Buffalo,Civic / civil-rights institution,Michigan Street Corridor,missing,available,assets/images/buffalo-urban-league/image-1.png,Needs text
Buffalo NAACP,Buffalo,Civic / civil-rights institution,Michigan Street Corridor,available,available,assets/images/buffalo-naacp/image-1.jpeg,
Little Harlem Hotel & Club,Buffalo,Hospitality / touring infrastructure,Michigan Street Corridor,available,available,assets/images/little-harlem-hotel-and-club/image-1.jpeg,
Pine Grill,Buffalo,Labor / governance infrastructure,Buffalo East Side / Black press + jazz network,available,available,assets/images/pine-grill/image-1.jpeg,
Centre Avenue YMCA,Pittsburgh,Community / social institution,Hill District / Centre-Wylie corridor,available,available,assets/images/centre-avenue-ymca/image-1.jpeg,
New Granada Theater,Pittsburgh,Performance / nightlife venue,Hill District / Centre-Wylie corridor,available,available,assets/images/new-granada-theater/image-1.jpeg,
Musicians' Club (Local 471),Pittsburgh,Labor / governance infrastructure,Hill District / Centre-Wylie corridor,available,available,assets/images/musicians-club-local-471/image-1.jpeg,
Crawford Grill No. 2,Pittsburgh,Performance / nightlife venue,Hill District / Centre-Wylie corridor,available,available,assets/images/crawford-grill-no-2/image-1.jpeg,
Pythian Temple,Pittsburgh,Black cultural institution,Hill District / Centre-Wylie corridor,available,available,assets/images/pythian-temple/image-1.jpeg,
Savoy Ballroom (Pythian building),Pittsburgh,Performance / nightlife venue,Hill District / Centre-Wylie corridor,available,available,assets/images/savoy-ballroom-pythian-building/image-1.jpeg,
Rhumba Theater,Pittsburgh,Performance / nightlife venue,Hill District / Centre-Wylie corridor,available,available,assets/images/rhumba-theater/image-1.jpeg,
Ammon Recreation Center,Pittsburgh,Community / social institution,Hill District / Centre-Wylie corridor,available,available,assets/images/ammon-recreation-center/image-1.jpg,
Bethel African Methodist Episcopal Church,Pittsburgh,Church / civic gathering space,Hill District / Centre-Wylie corridor,available,available,assets/images/bethel-african-methodist-episcopal-church/image-1.jpeg,
Wesley Center African Methodist Episcopal Zion Church,Pittsburgh,Church / civic gathering space,Hill District / Centre-Wylie corridor,available,available,assets/images/wesley-center-african-methodist-episcopal-zion-church/image-1.jpeg,
Trinity African Methodist Episcopal Church,Pittsburgh,Church / civic gathering space,Hill District / Centre-Wylie corridor,missing,available,assets/images/trinity-african-methodist-episcopal-church/image-1.jpeg,Needs text
Buffalo Challenger,Buffalo,Media / communication infrastructure,Buffalo East Side / Black press + jazz network,available,available,assets/images/buffalo-challenger/image-1.png,
Leader House,Pittsburgh,Community / social institution,Hill District / Centre-Wylie corridor,missing,available,assets/images/leader-house/image-1.jpeg,Needs text
Collins Inn,Pittsburgh,Hospitality / touring infrastructure,Hill District / Centre-Wylie corridor,available,available,assets/images/collins-inn/image-1.jpeg,
Paramount Club,Pittsburgh region,Performance / nightlife venue,Pittsburgh regional nightlife network,available,available,assets/images/paramount-club/image-1.jpg.webp,
Star Theater,Pittsburgh,Performance / nightlife venue,Hill District / Centre-Wylie corridor,available,available,assets/images/star-theater/image-1.jpeg,
Savoy Ballroom (early Hill District),Pittsburgh,Performance / nightlife venue,Hill District / Centre-Wylie corridor,available,available,assets/images/savoy-ballroom-early-hill-district/image-1.jpeg,
Roosevelt Theater,Pittsburgh,Performance / nightlife venue,Hill District / Centre-Wylie corridor,available,available,assets/images/roosevelt-theater/image-1.jpeg,
Hill City Auditorium,Pittsburgh,Black cultural institution,Hill District / Centre-Wylie corridor,missing,available,assets/images/hill-city-auditorium/image-1.jpeg,Needs text
Granada Theater,Pittsburgh,Performance / nightlife venue,Hill District / Centre-Wylie corridor,available,available,assets/images/granada-theater/image-1.jpeg,
Javo's Jungle,Pittsburgh,Performance / nightlife venue,Hill District / Centre-Wylie corridor,available,available,assets/images/javos-jungle/image-1.jpeg,
Ritz (after-hours club in Rhumba basement),Pittsburgh,Performance / nightlife venue,Hill District / Centre-Wylie corridor,available,missing,,Needs image
El Congo (after-hours club in Rhumba basement),Pittsburgh,Performance / nightlife venue,Hill District / Centre-Wylie corridor,available,missing,,Needs image
Bambola Social Club,Pittsburgh,Performance / nightlife venue,Hill District / Centre-Wylie corridor,available,missing,,Needs image
Tia Juana Club,Pittsburgh,Performance / nightlife venue,Hill District / Centre-Wylie corridor,available,missing,,Needs image
Stanley's (Bar/Tavern/Lounge),Pittsburgh,Performance / nightlife venue,Hill District / Centre-Wylie corridor,available,available,assets/images/stanleys-bar-tavern-lounge/image-1.jpeg,
Blue Note Café,Pittsburgh,Performance / nightlife venue,Hill District / Centre-Wylie corridor,available,missing,,Needs image
Washington Club,Pittsburgh,Performance / nightlife venue,Hill District / Centre-Wylie corridor,available,available,assets/images/washington-club/image-1.jpeg,
Loendi Social and Literary Club,Pittsburgh,Performance / nightlife venue,Hill District / Centre-Wylie corridor,missing,available,assets/images/loendi-social-and-literary-club/image-1.jpeg,Needs text
Hilltop Club,Pittsburgh,Performance / nightlife venue,Hill District / Centre-Wylie corridor,missing,available,assets/images/hilltop-club/image-1.jpeg,Needs text
Crawford Grill No. 1,Pittsburgh,Performance / nightlife venue,Hill District / Centre-Wylie corridor,available,available,assets/images/crawford-grill-no-1/image-1.jpeg,
Flamingo Hotel,Pittsburgh,Hospitality / touring infrastructure,Hill District / Centre-Wylie corridor,missing,available,assets/images/flamingo-hotel/image-1.jpeg,Needs text
Hurricane Lounge,Pittsburgh,Performance / nightlife venue,Hill District / Centre-Wylie corridor,available,available,assets/images/hurricane-lounge/image-1.jpeg,
Birdie's Crib,Pittsburgh,Performance / nightlife venue,Hill District / Centre-Wylie corridor,available,available,assets/images/birdies-crib/image-1.jpeg,
Labor Temple,Pittsburgh,Labor / governance infrastructure,Hill District / Centre-Wylie corridor,available,available,assets/images/labor-temple/image-1.jpeg,
Bambola / Tia Juana Club (basement),Pittsburgh,Performance / nightlife venue,Hill District / Centre-Wylie corridor,available,missing,,Needs image
Pittsburgh Courier (offices),Pittsburgh,Media / communication infrastructure,Hill District / Centre-Wylie corridor,available,available,assets/images/pittsburgh-courier-offices/image-1.jpeg,
Centre Street After-Hours Clubs (aggregate),Pittsburgh,Performance / nightlife venue,Centre Street / Strip District after-hours network,available,missing,,Needs image
